gem	sole_impact	reach_impact	failure_type	achievability	transitive_loadbearing
thor	894	1640	analyze-failed	compiler	14582
json	524	1526	c-extension	native	37924
ffi	228	1289	c-extension	native	8707
rake	201	520	analyze-failed	compiler	13106
colorize	189	382	analyze-failed	compiler	3205
bundler	132	286	analyze-failed	compiler	8147
multi_json	129	392	analyze-failed	compiler	30043
logger	122	1630	analyze-failed	compiler	42362
eventmachine	109	359	c-extension	native	1586
public_suffix	88	378	analyze-failed	compiler	13349
polyglot	86	119	other	compiler	6114
rmagick	85	148	c-extension	native	0
danger-plugin-api	82	108	no-entrypoint	compiler	0
tilt	78	199	analyze-failed	compiler	11148
rexml	67	231	analyze-failed	compiler	7661
concurrent-ruby	66	493	no-entrypoint	compiler	30363
ostruct	65	175	analyze-failed	compiler	3948
blankslate	61	83	analyze-failed	compiler	0
equalizer	60	100	analyze-failed	compiler	751
sqlite3	49	119	c-extension	native	783
pg	47	96	c-extension	native	0
hpricot	45	77	c-extension	native	1343
msgpack	41	100	c-extension	native	1273
zeitwerk	41	163	analyze-failed	compiler	25952
google-api-client	38	46	no-entrypoint	compiler	0
csv	37	65	analyze-failed	compiler	6607
curb	37	85	c-extension	native	0
redcarpet	35	82	c-extension	native	0
oj	35	101	c-extension	native	0
net-ldap	31	39	analyze-failed	compiler	0
libxml-ruby	31	63	c-extension	native	0
curses	30	49	c-extension	native	0
gosu	30	41	analyze-failed	compiler	0
prawn	29	57	analyze-failed	compiler	0
serialport	28	49	c-extension	native	0
yajl-ruby	27	85	c-extension	native	1428
engtagger	27	29	analyze-failed	compiler	0
connection_pool	27	175	analyze-failed	compiler	26400
bigdecimal	25	366	c-extension	native	29403
ox	24	42	c-extension	native	0
mysql2	24	47	c-extension	native	0
spring	22	22	no-entrypoint	compiler	0
parallel	22	53	analyze-failed	compiler	1569
github_api	20	30	analyze-failed	compiler	930
celluloid	19	44	analyze-failed	compiler	0
systemu	18	59	analyze-failed	compiler	0
rugged	18	43	c-extension	native	0
ruby-hmac	18	25	analyze-failed	compiler	1248
dalli	18	24	analyze-failed	compiler	0
thrift	17	29	c-extension	native	0
json_pure	17	37	no-entrypoint	compiler	1373
aws-sdk-core	17	37	analyze-failed	compiler	929
socksify	17	33	analyze-failed	compiler	0
uuidtools	16	39	analyze-failed	compiler	734
clipboard	16	39	analyze-failed	compiler	0
rjb	16	20	c-extension	native	0
facets	15	43	no-entrypoint	compiler	0
ruby-dbus	14	19	analyze-failed	compiler	0
inifile	14	25	analyze-failed	compiler	0
debug_inspector	14	19	c-extension	native	0
slack-notifier	13	19	analyze-failed	compiler	0
sunspot_rails	13	13	analyze-failed	compiler	0
bcrypt-ruby	13	16	no-entrypoint	compiler	0
unicode_utils	13	20	other	compiler	0
method_source	13	20	hard-feature	metaprog	8295
therubyracer	12	22	c-extension	native	0
mixlib-cli	12	15	no-entrypoint	compiler	0
dry-inflector	12	23	other	compiler	1103
RedCloth	12	19	c-extension	native	0
racc	12	1178	c-extension	native	17371
heroku	11	19	no-entrypoint	compiler	0
coffee-script-source	11	21	no-entrypoint	compiler	0
numerizer	11	16	other	compiler	0
dogstatsd-ruby	11	13	no-entrypoint	compiler	0
unicode	10	16	c-extension	native	0
geokit	10	15	analyze-failed	compiler	0
contracts	10	13	analyze-failed	compiler	0
openssl	10	37	c-extension	native	0
pdfkit	10	17	other	compiler	0
hiredis	10	55	c-extension	native	0
soap4r	10	12	no-entrypoint	compiler	0
matrix	10	21	analyze-failed	compiler	0
thread	9	13	no-entrypoint	compiler	0
rb-appscript	9	13	no-entrypoint	compiler	0
fastimage	9	13	analyze-failed	compiler	0
docile	9	15	analyze-failed	compiler	0
nanoc	9	14	analyze-failed	compiler	0
cri	9	15	analyze-failed	compiler	0
rgl	9	12	no-entrypoint	compiler	0
sorbet-runtime	9	18	analyze-failed	compiler	0
asciidoctor	9	19	analyze-timeout	compiler	0
ipaddress	9	14	other	compiler	744
trinidad_jars	9	10	no-entrypoint	compiler	0
opentracing	9	14	analyze-failed	compiler	0
bson	9	72	c-extension	native	874
diff-lcs	9	131	other	compiler	30594
posix-spawn	9	26	c-extension	native	0
mixlib-shellout	9	16	no-entrypoint	compiler	0
rouge	9	31	analyze-failed	compiler	0
ffaker	8	9	analyze-failed	compiler	0
citrus	8	16	analyze-failed	compiler	0
beefcake	8	15	analyze-failed	compiler	0
geoip	8	11	analyze-failed	compiler	0
mini_racer	8	8	c-extension	native	0
prometheus-client	8	9	other	compiler	0
couchbase	8	10	c-extension	native	0
merb-core	8	8	analyze-failed	compiler	0
commonmarker	7	8	analyze-failed	compiler	0
unaccent	7	14	other	compiler	0
digest-crc	7	11	no-entrypoint	compiler	0
memcached	7	8	c-extension	native	0
gnuplot	7	10	analyze-failed	compiler	0
ruby-ole	7	8	no-entrypoint	compiler	0
rest_client	7	13	no-entrypoint	compiler	0
nkf	6	12	c-extension	native	704
win32api	6	6	analyze-failed	compiler	0
patron	6	20	c-extension	native	0
graphql-client	6	8	no-entrypoint	compiler	0
rdiscount	6	14	c-extension	native	880
facter	6	14	analyze-failed	compiler	0
minitar	6	29	analyze-failed	compiler	952
pycall	6	6	c-extension	native	0
algorithms	6	10	c-extension	native	0
celluloid-io	6	23	no-entrypoint	compiler	0
simple_uuid	6	14	analyze-failed	compiler	0
oily_png	6	11	c-extension	native	0
escape	6	17	other	compiler	0
google-cloud-pubsub	6	7	analyze-failed	compiler	0
fast-stemmer	6	9	c-extension	native	0
moji	6	9	analyze-failed	compiler	0
diplomat	6	11	analyze-failed	compiler	0
murmurhash3	6	7	c-extension	native	0
bcrypt	5	14	c-extension	native	0
retriable	5	11	analyze-failed	compiler	0
ptools	5	15	analyze-failed	compiler	0
puppet	5	12	analyze-failed	compiler	0
timers	5	12	analyze-failed	compiler	777
atomic	5	10	c-extension	native	0
bond	5	9	c-extension	native	0
