gem	sole_impact	reach_impact	transit_loadbearing	downloads	verdict	failure_type	achievability	lib_files	lib_loc
thor	888	1676	14525	1090304197	rejected	analyze-failed	compiler	4	110
json	543	1492	37340	1284274513	rejected	c-extension	native	4	118
redis	284	455	2631	558522420	rejected	analyze-failed	compiler	2	19
ffi	233	1270	8649	1024964981	rejected	c-extension	native	1	138
colorize	187	384	3204	161667739	rejected	analyze-failed	compiler	5	42
logger	171	1759	41579	338533186	rejected	analyze-failed	compiler	2	126
rake	153	538	13049	1331657383	rejected	analyze-failed	compiler	5	572
bundler	139	292	8142	3444707281	rejected	analyze-failed	compiler	4	235
multi_json	134	477	29885	1108878756	rejected	analyze-failed	compiler	10	642
eventmachine	107	383	1578	320719417	rejected	c-extension	native	17	1261
public_suffix	103	410	13274	1163959522	rejected	analyze-failed	compiler	6	287
rmagick	88	154	0	54269084	rejected	c-extension	native	17	3278
concurrent-ruby	83	681	30173	1285986142	rejected	no-entrypoint	compiler	0	0
danger-plugin-api	83	108	0	39731151	rejected	no-entrypoint	compiler	2	14
tilt	75	279	11101	758196228	rejected	analyze-failed	compiler	6	37
rexml	69	252	7631	766659083	rejected	analyze-failed	compiler	1	26
ostruct	68	177	3898	118336352	rejected	analyze-failed	compiler	2	75
pg	50	100	0	445149932	rejected	c-extension	native	4	85
hpricot	48	80	1338	15286467	rejected	c-extension	native	2	10
sqlite3	48	121	773	184035418	rejected	c-extension	native	10	1100
google-api-client	38	48	0	182126591	rejected	no-entrypoint	compiler	2	14
csv	38	67	6502	158650409	rejected	analyze-failed	compiler	4	112
curb	38	87	0	40539489	rejected	c-extension	native	2	106
msgpack	38	99	1265	482639659	rejected	c-extension	native	4	295
oj	34	96	0	289233171	rejected	c-extension	native	2	12
libxml-ruby	34	65	0	28892012	rejected	c-extension	native	21	1104
redcarpet	33	82	0	125286740	rejected	c-extension	native	3	112
colored	33	69	0	145638157	rejected	analyze-failed	compiler	2	30
yajl-ruby	31	98	1428	105716469	rejected	c-extension	native	15	402
serialport	31	48	0	553886	rejected	c-extension	native	5	163
engtagger	28	30	0	2970301	rejected	analyze-failed	compiler	3	704
curses	28	45	0	2136513	rejected	c-extension	native	0	0
open4	27	189	14733	144157446	rejected	analyze-failed	compiler	1	363
net-ldap	27	38	0	85569978	rejected	analyze-failed	compiler	1	12
prawn	27	57	0	95770067	rejected	analyze-failed	compiler	7	424
gosu	27	36	0	1346914	rejected	analyze-failed	compiler	0	0
ox	27	45	0	37631413	rejected	c-extension	native	13	1627
mysql2	24	46	0	233802574	rejected	c-extension	native	6	293
bigdecimal	22	539	29136	421182723	rejected	c-extension	native	1	8
spring	22	22	0	249439359	rejected	no-entrypoint	compiler	1	60
parallel	21	55	1561	770124323	rejected	analyze-failed	compiler	3	42
aws-sdk-core	21	41	929	1679276322	rejected	analyze-failed	compiler	285	18868
