gem	transitive_dependents	direct_dependents	spinel_verdict
logger	42362	347	rejected
json	37924	4332	rejected
base64	37474	292	verified
ruby2_keywords	33476	26	rejected
uri	31096	42	rejected
diff-lcs	30594	88	rejected
concurrent-ruby	30363	509	rejected
multi_json	30043	1504	rejected
bigdecimal	29403	157	rejected
i18n	27302	946	rejected
prism	26935	38	rejected
thread_safe	26722	74	risky
builder	26692	571	risky
rspec-core	26613	113	rejected
rspec-expectations	26574	81	rejected
rspec-mocks	26528	24	rejected
rspec	26518	902	clean
drb	26413	19	risky
tzinfo	26408	208	rejected
connection_pool	26400	174	rejected
zeitwerk	25952	497	rejected
minitest	25461	259	rejected
benchmark	25447	36	clean
mutex_m	25269	42	rejected
securerandom	25221	23	rejected
activesupport	25205	8102	rejected
rack	21152	1793	risky
racc	17371	31	rejected
mini_portile2	16300	30	clean
nokogiri	16207	4399	rejected
open4	14795	118	risky
thor	14582	4764	rejected
mime-types	14257	549	risky
public_suffix	13349	74	clean
addressable	13295	904	risky
rake	13106	1519	rejected
activemodel	13087	1195	risky
reline	12400	25	rejected
tilt	11148	418	rejected
timeout	9534	18	clean
webrick	9530	102	risky
psych	9218	97	rejected
erubis	9107	235	risky
rack-test	8946	90	rejected
multipart-post	8728	138	risky
ffi	8707	597	rejected
net-http	8607	40	rejected
faraday-net_http_persistent	8561	36	rejected
faraday-multipart	8560	193	rejected
faraday-net_http	8558	17	rejected
faraday-retry	8557	104	rejected
faraday	8557	3628	risky
erubi	8540	34	rejected
arel	8517	54	risky
activerecord	8490	3030	rejected
sprockets	8329	293	rejected
method_source	8295	63	rejected
rbs	8256	28	rejected
loofah	8242	32	rejected
erb	8241	22	rejected
rdoc	8219	89	risky
actionview	8165	161	rejected
bundler	8147	918	rejected
rack-cache	8042	34	risky
irb	8038	25	rejected
useragent	8030	20	risky
actionpack	8011	677	rejected
rackup	7823	41	rejected
rexml	7661	153	rejected
railties	7092	1488	rejected
csv	6607	198	rejected
polyglot	6114	17	verified
multi_xml	6102	208	rejected
treetop	6076	152	risky
nio4r	5716	26	rejected
hashie	5508	1324	risky
digest	5506	22	rejected
net-smtp	5480	25	rejected
mail	5460	342	rejected
websocket-driver	5243	41	rejected
mimemagic	5165	91	rejected
globalid	5146	19	clean
activejob	5132	116	rejected
activeresource	5076	185	risky
marcel	5032	76	risky
sprockets-rails	5009	41	rejected
actionmailer	4993	133	rejected
safe_yaml	4898	54	rejected
activestorage	4882	27	rejected
actioncable	4869	18	risky
rails	4853	3527	rejected
crack	4790	139	rejected
httparty	4495	3090	risky
unf	4383	29	rejected
rack-protection	4367	34	risky
http-cookie	4327	35	risky
ostruct	3948	170	rejected
highline	3708	822	risky
net-ssh	3236	457	rejected
netrc	3217	95	clean
colorize	3205	1303	rejected
rest-client	2982	2412	risky
mustermann	2922	31	rejected
sinatra	2729	1347	rejected
redis	2649	1116	risky
rubyzip	2640	652	risky
slop	2597	354	risky
net-scp	2506	170	rejected
faraday_middleware	2310	1207	risky
net-sftp	2306	114	rejected
jwt	2161	412	clean
coderay	2039	130	risky
net-ssh-gateway	1951	52	rejected
spoon	1898	21	clean
rb-inotify	1897	36	clean
rb-fsevent	1890	49	rejected
pry	1876	461	rejected
sshkit	1790	104	rejected
unicode-display_width	1790	36	rejected
rainbow	1753	476	risky
capistrano	1739	935	risky
eventmachine	1586	633	rejected
parallel	1569	296	rejected
ice_nine	1559	39	risky
puma	1546	182	rejected
http_parser.rb	1535	56	rejected
temple	1479	19	risky
rchardet	1438	25	rejected
oauth2	1430	375	rejected
yajl-ruby	1428	416	rejected
git	1401	466	risky
ast	1389	21	verified
json_pure	1373	193	rejected
hpricot	1343	225	rejected
sass	1323	450	risky
omniauth	1318	704	rejected
ruby-progressbar	1293	250	clean
msgpack	1273	198	rejected
ruby-hmac	1248	105	rejected
haml	1238	552	risky
parser	1223	171	rejected
execjs	1134	150	risky
dry-inflector	1103	59	rejected
typhoeus	1096	954	risky
childprocess	1083	96	clean
log4r	1066	158	risky
dotenv	1056	455	risky
tzinfo-data	1049	49	rejected
redis-namespace	1041	156	risky
excon	1004	307	rejected
serverengine	997	20	rejected
omniauth-oauth2	992	891	risky
faker	975	146	rejected
yard	971	161	risky
fluentd	954	951	rejected
minitar	952	62	rejected
github_api	930	86	rejected
aws-sdk-core	929	94	rejected
clamp	923	143	risky
net-http-persistent	920	175	rejected
dry-core	887	43	risky
rdiscount	880	86	rejected
bson	874	55	rejected
semver2	872	19	rejected
rubocop-ast	860	17	rejected
lint_roller	856	41	verified
rubocop	855	452	rejected
aws-sdk-v1	854	51	risky
elasticsearch	849	129	rejected
mongo	847	210	rejected
jeweler	846	77	rejected
listen	831	225	risky
wisper	830	61	risky
dry-equalizer	830	22	risky
tty-color	826	26	rejected
formatador	825	72	rejected
pastel	825	151	rejected
dry-configurable	818	164	risky
ffi-compiler	811	19	rejected
tty-screen	810	62	rejected
aws-sdk	809	698	risky
xml-simple	795	227	clean
chronic_duration	791	69	risky
tins	788	45	risky
oauth	788	322	rejected
liquid	785	193	rejected
sqlite3	783	517	rejected
fakeweb	780	21	risky
timers	777	33	rejected
gems	759	45	risky
equalizer	751	40	rejected
ipaddress	744	74	rejected
tty-cursor	737	44	verified
filesize	736	32	clean
daemons	735	216	risky
uuidtools	734	181	rejected
tty-reader	722	17	rejected
tty-prompt	710	278	rejected
stud	709	151	rejected
nkf	704	18	rejected
